No.,名称,☆,タイプ1,タイプ2,主属性,副属性,HP,攻撃,回復,コスト,スキル,リーダースキル,覚醒数,ギガグラ,最大Lv,,最大HP,最大攻撃,最大回復,HP指数,攻撃指数,回復指数,覚醒スキル1,覚醒スキル2,覚醒スキル3,覚醒スキル4,覚醒スキル5,覚醒スキル6,覚醒スキル7,覚醒スキル8,覚醒スキル9,,
1071,孫悟空,5,神,,光,,631,450,162,15,如意棒,仙丹の活力,0,,50 ,,1514,765,275,1.0,1.0,1.0,,,,,,,,,,,
1072,金毛の猿神・孫悟空,6,神,,光,,1211,689,248,25,如意棒,仙丹の活力,4,,99 ,,3028,1240,446,1.0,1.0,1.0,光属性強化,バインド回復,スキルブースト,封印耐性,,,,,,,
1073,パンドラ,5,神,,闇,,614,444,174,15,秘密の箱,災厄の到来,0,,50 ,,1474,755,296,1.0,1.0,1.0,,,,,,,,,,,
1074,冥夜の女神・パンドラ,6,神,,闇,,1179,680,266,25,秘密の箱,災厄の到来,4,,99 ,,2948,1224,479,1.0,1.0,1.0,闇属性強化,バインド回復,スキルブースト,封印耐性,,,,,,,
1075,いちドラ,4,ドラゴン,,火,,451,389,152,20,ストロベリーシャワー,紅果の力,0,,50 ,,1082,661,258,1.0,1.0,1.0,,,,,,,,,,,
1076,紅天の果実・いちごドラゴン,5,ドラゴン,,火,木,866,595,232,35,ストロベリーシャワー,紅果の恵み,9,,99 ,,2165,971,358,1.0,1.0,1.0,火ダメージ軽減,火ダメージ軽減,火ドロップ強化,スキルブースト,火ドロップ強化,火属性強化,火ドロップ強化,火属性強化,スキルブースト,,
1077,べりドラ,4,ドラゴン,,水,,455,380,154,20,ブルーベリーシャワー,蒼果の力,0,,50 ,,1092,646,262,1.0,1.0,1.0,,,,,,,,,,,
1078,蒼天の果実・ベリードラゴン,5,ドラゴン,,水,木,874,581,236,35,ブルーベリーシャワー,蒼果の恵み,9,,99 ,,2185,946,365,1.0,1.0,1.0,水ダメージ軽減,水ダメージ軽減,水ドロップ強化,スキルブースト,水ドロップ強化,水属性強化,水ドロップ強化,水属性強化,スキルブースト,,
1079,めろドラ,4,ドラゴン,,木,,462,371,157,20,メロンシャワー,碧果の力,0,,50 ,,1109,631,267,1.0,1.0,1.0,,,,,,,,,,,
1080,碧天の果実・メロンドラゴン,5,ドラゴン,,木,木,887,568,240,35,メロンシャワー,碧果の恵み,9,,99 ,,2218,922,372,1.0,1.0,1.0,木ダメージ軽減,木ダメージ軽減,木ドロップ強化,スキルブースト,木ドロップ強化,木属性強化,木ドロップ強化,木属性強化,スキルブースト,,
1081,れもドラ,4,ドラゴン,,光,,449,382,157,20,レモンシャワー,黄果の力,0,,50 ,,1078,649,267,1.0,1.0,1.0,,,,,,,,,,,
1082,黄天の果実・レモンドラゴン,5,ドラゴン,,光,木,862,584,240,35,レモンシャワー,黄果の恵み,9,,99 ,,2155,951,372,1.0,1.0,1.0,光ダメージ軽減,光ダメージ軽減,自動回復,スキルブースト,光ドロップ強化,光属性強化,光ドロップ強化,光属性強化,スキルブースト,,
1083,ぶどドラ,4,ドラゴン,,闇,,443,375,164,20,グレープシャワー,紫果の力,0,,50 ,,1063,638,279,1.0,1.0,1.0,,,,,,,,,,,
1084,紫天の果実・ぶどうドラゴン,5,ドラゴン,,闇,木,850,574,251,35,グレープシャワー,紫果の恵み,9,,99 ,,2125,933,392,1.0,1.0,1.0,闇ダメージ軽減,闇ダメージ軽減,操作時間延長,スキルブースト,闇ドロップ強化,闇属性強化,闇ドロップ強化,闇属性強化,スキルブースト,,
1085,レッドドラゴンフルーツ,6,進化用,,火,木,500,400,300,1,継界召龍陣・火闇,なし,0,,1 ,,500,400,300,1.0,1.0,1.0,,,,,,,,,,,
1086,ブルードラゴンフルーツ,6,進化用,,水,木,500,400,300,1,継界召龍陣・水闇,なし,0,,1 ,,500,400,300,1.0,1.0,1.0,,,,,,,,,,,
1087,グリーンドラゴンフルーツ,6,進化用,,木,光,500,400,300,1,継界召龍陣・木闇,なし,0,,1 ,,500,400,300,1.0,1.0,1.0,,,,,,,,,,,
1088,青龍喚士・ソニア,6,ドラゴン,体力,水,闇,1079,512,0,40,継界召龍陣・水闇,晶龍族の血統,0,,50 ,,2590,870,0,1.0,1.0,1.0,,,,,,,,,,,
1089,永劫の青龍喚士・ソニア,7,ドラゴン,体力,水,闇,2072,783,0,60,継界召龍陣・水闇,晶龍族の血統,6,,99 ,,5180,1409,0,1.0,1.0,1.0,水属性強化,水ドロップ強化,闇属性強化,バインド回復,スキルブースト,スキルブースト,,,,,
1090,ハリケーンボルケーノドラゴン,6,ドラゴン,攻撃,火,木,1130,950,93,35,マグマボール,火龍の守護,3,,99 ,,2825,1680,186,1.0,1.0,1.0,火ダメージ軽減,火ダメージ軽減,スキルブースト,,,,,,,,
1091,ブラストオーロラドラゴン,6,ドラゴン,体力,水,火,1222,903,101,35,ブリザードボール,水龍の守護,3,,99 ,,3855,1264,202,1.0,1.0,1.0,水ダメージ軽減,水ダメージ軽減,スキルブースト,,,,,,,,
1092,ジェネレイトアースドラゴン,6,ドラゴン,バランス,木,火,1204,914,109,35,ガイアボール,地龍の守護,3,,99 ,,3260,1410,298,1.0,1.0,1.0,木ダメージ軽減,木ダメージ軽減,スキルブースト,,,,,,,,
1093,トルネードホーリードラゴン,6,ドラゴン,回復,光,木,1158,924,117,35,ホーリーボール,聖樹の防壁,3,,99 ,,2545,1344,404,1.0,1.0,1.0,光ダメージ軽減,木ダメージ軽減,スキルブースト,,,,,,,,
1094,サイクロンデビルドラゴン,6,ドラゴン,悪魔,闇,木,1176,940,86,35,ヘルボール,呪花の防壁,3,,99 ,,3040,1616,172,1.0,1.0,1.0,闇ダメージ軽減,木ダメージ軽減,スキルブースト,,,,,,,,
1095,水天双極星・リヴァイアサン,6,ドラゴン,体力,水,水,861,416,105,33,ブリザードブレス,双水の螺旋,4,,99 ,,3509,1405,231,1.0,1.0,1.0,水属性強化,スキルブースト,水属性強化,2体攻撃,,,,,,,
1096,風天双極星・ファフニール,6,ドラゴン,バランス,木,木,777,451,95,33,ガイアブレス,双風の螺旋,4,,99 ,,2960,1512,302,1.0,1.0,1.0,木属性強化,スキルブースト,木属性強化,2体攻撃,,,,,,,
1097,ヘラクレス,6,神,体力,木,,906,449,63,40,苦難の超克,ギガンティックフォース,0,,50 ,,2174,763,107,1.0,1.0,1.0,,,,,,,,,,,
1098,試練の剛神・ヘラクレス,7,神,体力,木,光,1739,687,96,60,苦難の超克,ギガンティックフォース,3,,99 ,,4348,1337,173,1.0,1.0,1.0,木ドロップ強化,木ダメージ軽減,木属性強化,,,,,,,,
1099,紅蓮華の女傑・エキドナ,6,回復,,火,火,672,452,406,23,威嚇,フラムルージュ,3,,99 ,,1277,1349,650,1.0,1.0,1.0,暗闇耐性,回復強化,攻撃強化,,,,,,,,
1100,綿津見の歌姫・セイレーン,6,回復,,水,水,690,436,432,23,防御態勢・水,エターナルソング,3,,99 ,,2011,1185,691,1.0,1.0,1.0,暗闇耐性,回復強化,自動回復,,,,,,,,
1101,世界樹の精霊・アルラウネ,6,回復,,木,木,644,431,448,23,キュアー,憩いの唄,3,,99 ,,2324,1019,717,1.0,1.0,1.0,バインド回復,自動回復,自動回復,,,,,,,,
1102,神創樹の精霊・アルラウネ,6,バランス,,木,光,644,431,448,23,キュアー,元気のおまじない,4,,99 ,,2524,1099,518,1.0,1.0,1.0,バインド耐性,自動回復,自動回復,封印耐性,,,,,,,
1103,天上界の使徒・エンジェル,6,回復,神,光,水,654,415,456,23,ヒール,神の奇跡,3,,99 ,,2203,1020,760,1.0,1.0,1.0,自動回復,自動回復,バインド回復,,,,,,,,
1104,聖天地の守神・エンジェル,6,回復,神,光,光,654,415,456,23,ヒール,暁光の御手,4,,99 ,,1530,1160,730,1.0,1.0,1.0,自動回復,自動回復,バインド耐性,封印耐性,,,,,,,
1105,月光牙の魔女・リリス,6,攻撃,悪魔,闇,光,672,473,399,23,毒の霧,ルナティックレクイエム,4,,99 ,,1427,1458,608,1.0,1.0,1.0,自動回復,闇属性強化,操作時間延長,封印耐性,,,,,,,
1106,漆黒夜の魔姫・リリス,6,回復,悪魔,闇,闇,672,473,399,23,毒の霧,テンプテーションアイ,3,,99 ,,2077,1188,688,1.0,1.0,1.0,自動回復,回復強化,操作時間延長,,,,,,,,
1107,幻神・オーディン,6,神,攻撃,火,闇,1098,1164,29,30,滅槍グングニール,ルーン・オブ・フェイト,0,,50 ,,2306,1513,58,1.0,1.0,1.0,,,,,,,,,,,
1108,覚醒幻神・オーディン,7,神,攻撃,火,闇,1845,1362,52,50,滅槍グングニール,ソング・オブ・ヴァルハラ,6,,99 ,,4059,2043,154,1.0,1.0,1.0,スキルブースト,火属性強化,火属性強化,スキルブースト,スキルブースト,火属性強化,,,,,
1109,炎天双極星・イフリート,6,ドラゴン,悪魔,火,火,798,421,105,33,マグマブレス,双炎の螺旋,4,,99 ,,2957,1638,220,1.0,1.0,1.0,火属性強化,スキルブースト,火属性強化,2体攻撃,,,,,,,
1110,光天双極星・神龍,6,ドラゴン,神,光,光,756,426,121,33,ホーリーブレス,双光の螺旋,4,,99 ,,2857,1413,295,1.0,1.0,1.0,光属性強化,スキルブースト,光属性強化,2体攻撃,,,,,,,
1111,闇天双極星・ティアマット,6,ドラゴン,攻撃,闇,闇,812,457,74,33,ヘルブレス,双闇の螺旋,4,,99 ,,2500,1754,198,1.0,1.0,1.0,闇属性強化,スキルブースト,闇属性強化,2体攻撃,,,,,,,
1112,宿業の破壊神・シヴァ,7,神,体力,火,水,1586,968,83,25,第三の目,爆炎の魂,4,,99 ,,4131,1452,125,1.5,1.5,1.5,操作時間延長,スキルブースト,火属性強化,火属性強化,,,,,,,
1113,破戒の創造神・シヴァ,7,神,悪魔,火,闇,1586,968,83,25,第三の目,爆滅神の衝動,4,,99 ,,3331,1802,125,1.5,1.5,1.5,操作時間延長,スキルブースト,火属性強化,火属性強化,,,,,,,
1114,招福の天女神・ラクシュミー,7,神,回復,水,木,1046,824,440,35,吸魔の光,幸運神の恩寵,4,,99 ,,2397,1286,760,1.5,1.5,1.5,スキルブースト,自動回復,バインド回復,操作時間延長,,,,,,,
1115,紫蓮の吟女神・ラクシュミー,7,神,バランス,水,光,1046,824,440,35,吸魔の光,水天神の秘曲,4,,99 ,,2997,1436,510,1.5,1.5,1.5,スキルブースト,自動回復,水属性強化,操作時間延長,,,,,,,
1116,白火の舞女神・パールヴァティー,7,神,バランス,木,火,1306,904,295,35,防御態勢・木,聖獣神の激励,4,,99 ,,3043,1406,473,1.5,1.5,1.5,毒耐性,木ドロップ強化,2体攻撃,自動回復,,,,,,,
1117,翠金の仙女神・パールヴァティー,7,神,体力,木,光,1306,904,295,35,防御態勢・木,麗山神の祈祷,4,,99 ,,3543,1226,483,1.5,1.5,1.5,毒耐性,木ドロップ強化,木属性強化,自動回復,,,,,,,
1118,サンダルフォン,6,神,回復,光,,572,410,217,40,裁きの瞑奏,アイズ・オブ・ヘブン,0,,50 ,,1373,820,456,1.0,1.0,1.0,,,,,,,,,,,
1119,覚醒サンダルフォン,7,神,回復,光,水,1098,738,410,60,裁きの瞑奏,アイズ・オブ・ヘブン,3,,99 ,,2645,1207,615,1.0,1.0,1.0,光属性強化,光ドロップ強化,バインド耐性,,,,,,,,
1120,バーサーカーZ,4,悪魔,,火,,699,479,0,15,ウルトラヒートアップ,バーサークソウル,0,,50 ,,1678,814,0,1.0,1.0,1.0,,,,,,,,,,,
1121,炎鎚の蛮勇・プロメテウス,5,悪魔,,火,火,1342,733,0,25,ウルトラヒートアップ,バーサークソウル,3,,99 ,,3355,1319,0,1.0,1.0,1.0,火属性強化,火ドロップ強化,火属性強化,,,,,,,,
1122,ウル・キマイラ,4,回復,,水,,375,477,171,15,エールヒール,フュージョンソウル,0,,50 ,,900,811,291,1.0,1.0,1.0,,,,,,,,,,,
1123,ギーブル・キマイラ,5,回復,,水,水,720,730,262,25,エールヒール,フュージョンソウル,3,,99 ,,1800,1314,502,1.0,1.0,1.0,水属性強化,2体攻撃,スキルブースト,,,,,,,,
1124,グリムロック,4,体力,,木,,859,378,10,15,ロックシールド,ワイルドソウル,0,,50 ,,2062,643,17,1.0,1.0,1.0,,,,,,,,,,,
1125,グリムクリストル,5,体力,,木,木,1650,579,15,25,ロックシールド,ワイルドソウル,3,,99 ,,4125,1042,97,1.0,1.0,1.0,スキルブースト,バインド耐性,バインド耐性,,,,,,,,
1126,ラディウス,4,神,,光,,573,366,188,15,ヒールバリア,フィフスカインド,0,,50 ,,1375,622,320,1.0,1.0,1.0,,,,,,,,,,,
1127,アンジェリウス,5,神,回復,光,光,1100,560,288,25,ヒールバリア,シックスカインド,3,,99 ,,2750,1008,518,1.0,1.0,1.0,光属性強化,自動回復,スキルブースト,,,,,,,,
1128,ドラゴン・サムライ,4,ドラゴン,,闇,,712,560,20,15,バーサーク,サムライソウル,0,,50 ,,1709,952,34,1.0,1.0,1.0,,,,,,,,,,,
1129,ドラゴン・ショウグン,5,ドラゴン,攻撃,闇,闇,1367,857,31,25,バーサーク,ショウグンソウル,3,,99 ,,3418,1543,56,1.0,1.0,1.0,2体攻撃,闇属性強化,スキルブースト,,,,,,,,
1130,アヴァロンドレイク,5,神,,木,,849,512,33,20,オーバードガイア,ヘブンズソウル,0,,50 ,,2038,870,56,1.0,1.0,1.0,,,,,,,,,,,
1131,守護龍・アヴァロンドレイク,6,神,ドラゴン,木,光,1630,783,50,30,オーバードガイア,ニルヴァーナソウル,4,,99 ,,4075,1409,190,1.0,1.0,1.0,木属性強化,木属性強化,スキルブースト,スキルブースト,,,,,,,
1132,裏緋天龍・エルドラド,6,ドラゴン,神,火,,316,443,122,50,ヘルファイヤブレス,しゃくねつのソウル,7,,99 ,,2112,2016,244,1.0,1.0,1.0,火ダメージ軽減,火ダメージ軽減,火ダメージ軽減,火ダメージ軽減,火ダメージ軽減,火ドロップ強化,スキルブースト,,,,
1133,裏蒼天龍・ニライカナイ,6,ドラゴン,神,水,,310,453,113,50,エクスフリーズブレス,わたつみのソウル,7,,99 ,,2081,2057,226,1.0,1.0,1.0,水ダメージ軽減,水ダメージ軽減,水ダメージ軽減,水ダメージ軽減,水ダメージ軽減,水ドロップ強化,スキルブースト,,,,
1134,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
1135,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
1136,キティホノりん,3,バランス,,火,,179,79,71,6,なし,ストロベリーキャンディ,0,,25 ,,806,356,149,1.0,1.0,1.0,,,,,,,,,,,
1137,キティホノワルりん,4,バランス,,火,闇,645,320,134,11,ストロベリーシャワー,キティのリボン・火,2,,70 ,,806,356,149,1.0,1.0,1.0,2体攻撃,闇ダメージ軽減,,,,,,,,,
1138,キティアワりん,3,バランス,,水,,180,77,73,6,なし,ブルーベリーキャンディ,0,,25 ,,810,347,153,1.0,1.0,1.0,,,,,,,,,,,
1139,キティアワホノりん,4,バランス,,水,火,648,312,138,11,ブルーベリーシャワー,キティのリボン・水,2,,70 ,,1620,880,290,1.0,1.0,1.0,2体攻撃,火ダメージ軽減,,,,,,,,,
1140,キティモリりん,3,体力,,木,,265,75,18,6,なし,メロンキャンディ,0,,25 ,,1193,338,38,1.0,1.0,1.0,,,,,,,,,,,
1141,キティモリアワりん,4,体力,,木,水,954,304,34,11,メロンシャワー,キティのリボン・木,2,,70 ,,2385,860,71,1.0,1.0,1.0,2体攻撃,水ダメージ軽減,,,,,,,,,
1142,キティヒカりん,3,体力,,光,,263,73,23,6,なし,レモンキャンディ,0,,25 ,,1184,329,48,1.0,1.0,1.0,,,,,,,,,,,
1143,キティヒカモリりん,4,体力,,光,木,947,296,43,11,レモンシャワー,キティのリボン・光,2,,70 ,,2368,840,90,1.0,1.0,1.0,2体攻撃,木ダメージ軽減,,,,,,,,,
1144,キティワルりん,3,回復,,闇,,155,72,97,6,なし,グレープキャンディ,0,,25 ,,698,324,204,1.0,1.0,1.0,,,,,,,,,,,
1145,キティワルヒカりん,4,回復,,闇,光,558,292,184,11,グレープシャワー,キティのリボン・闇,2,,70 ,,1395,830,386,1.0,1.0,1.0,2体攻撃,光ダメージ軽減,,,,,,,,,
1146,キティン＆ミミーナ,5,バランス,,水,,267,106,79,20,ウォーターエンハンス,ふたりは仲良し♪,0,,50 ,,1202,477,166,1.0,1.0,1.0,,,,,,,,,,,
1147,リンゴの泉のキティン＆ミミーナ,6,バランス,,水,水,962,429,149,30,ウォーターエンハンス,ふたりは仲良し♪,2,,99 ,,2405,1073,313,1.0,1.0,1.0,水ドロップ強化,水属性強化,,,,,,,,,
1148,アップルドラウン,4,ドラゴン,,闇,,256,82,85,10,ラッキー？リボン,Let'sParty！！,0,,50 ,,1152,369,179,1.0,1.0,1.0,,,,,,,,,,,
1149,ハローキティワールド★ジョーカー,5,ドラゴン,悪魔,闇,闇,922,332,161,15,ラッキー？リボン,Let'sParty！！,2,,99 ,,2305,830,338,1.0,1.0,1.0,バインド耐性,バインド耐性,,,,,,,,,
1150,ハローキティ,4,バランス,,火,,242,123,95,10,リンゴパワー！,元気の力,0,,50 ,,1089,554,200,1.0,1.0,1.0,,,,,,,,,,,
1151,キティ＆ティラ,5,バランス,ドラゴン,火,火,871,499,180,20,リンゴパワー！,元気の力,3,,99 ,,2700,1248,270,1.0,1.0,1.0,スキルブースト,火ドロップ強化,2体攻撃,,,,,,,,
1152,けろけろけろっぴ,4,体力,,水,,303,119,33,10,けろけろアターック！,勇気の力,0,,50 ,,1364,536,69,1.0,1.0,1.0,,,,,,,,,,,
1153,けろっぴ＆プレシィ,5,体力,ドラゴン,水,水,1091,482,62,20,けろけろアターック！,勇気の力,3,,99 ,,3382,1205,93,1.0,1.0,1.0,スキルブースト,水ドロップ強化,2体攻撃,,,,,,,,
1154,マイメロディ,4,バランス,,木,,247,121,93,10,メロディウインク♪,やさしさの力,0,,50 ,,1112,545,195,1.0,1.0,1.0,,,,,,,,,,,
1155,メロディ＆ブラッキィ,5,バランス,ドラゴン,木,木,890,491,176,20,メロディウインク♪,やさしさの力,3,,99 ,,2759,1228,264,1.0,1.0,1.0,スキルブースト,木ドロップ強化,2体攻撃,,,,,,,,
1156,バッドばつ丸,4,攻撃,,闇,,281,149,42,10,おしりぺんぺん！,ブラックハート,0,,50 ,,1265,671,88,1.0,1.0,1.0,,,,,,,,,,,
1157,ピエドラばつ丸,5,攻撃,,闇,,1012,604,79,20,おしりぺんぺん！,ブラックハート,3,,99 ,,2530,1510,166,1.0,1.0,1.0,闇属性強化,暗闇耐性,バインド耐性,,,,,,,,
1158,クロミ,4,悪魔,,闇,,242,148,69,10,いちころウインクよ！,ピンクハート,0,,50 ,,1089,666,145,1.0,1.0,1.0,,,,,,,,,,,
1159,リリスクロミ,5,悪魔,,闇,,871,599,131,20,いちころウインクよ！,ピンクハート,3,,99 ,,2178,1498,275,1.0,1.0,1.0,闇属性強化,毒耐性,操作時間延長,,,,,,,,
1160,シナモロール,4,回復,,光,,233,108,137,10,おやつの時間だよ！,ホワイトハート,0,,50 ,,1049,486,288,1.0,1.0,1.0,,,,,,,,,,,
1161,エンジェルシナモン,5,回復,,光,,839,437,259,20,おやつの時間だよ！,ホワイトハート,3,,99 ,,2098,1093,544,1.0,1.0,1.0,光ドロップ強化,自動回復,スキルブースト,,,,,,,,
1162,ポムポムプリン,5,体力,,光,,478,99,29,10,ポムプリダンス☆,プリンのたまご,0,,50 ,,2151,446,61,1.0,1.0,1.0,,,,,,,,,,,
1163,たまドラプリン,6,体力,,光,光,1721,401,55,20,ポムプリダンス☆,プリンのたまご,4,,99 ,,4303,1053,116,1.0,1.0,1.0,光属性強化,バインド耐性,バインド耐性,スキルブースト,,,,,,,
1164,女神ハローキティ,5,回復,,光,,270,122,136,10,プリンセススマイル,仲良しの輪,0,,50 ,,1215,549,286,1.0,1.0,1.0,,,,,,,,,,,
1165,プリンセス・ヴァルキティ,6,回復,,光,光,972,494,257,20,プリンセススマイル,仲良しの輪,4,,99 ,,2480,1235,540,1.0,1.0,1.0,光属性強化,バインド耐性,自動回復,スキルブースト,,,,,,,
1166,紅の華龍・バルバドス,6,ドラゴン,,火,木,1255,512,155,40,フレイムシードブレス,紅炎のペタル,2,,99 ,,3389,1075,544,1.0,1.0,1.0,火ドロップ強化,スキルブースト,,,,,,,,,
1167,蒼の華龍・スターリング,6,ドラゴン,,水,木,1250,510,156,40,アクアシードブレス,蒼雹のペタル,2,,99 ,,3375,1071,548,1.0,1.0,1.0,水ドロップ強化,スキルブースト,,,,,,,,,
1168,翠の華龍・カサブランカ,6,ドラゴン,,木,木,1247,508,158,40,ウィンドシードブレス,翠風のペタル,2,,99 ,,3367,1067,555,1.0,1.0,1.0,木ドロップ強化,スキルブースト,,,,,,,,,
1169,橙の華龍・ヘリアンタス,6,ドラゴン,,光,木,1254,514,154,40,シャインシードブレス,橙輝のペタル,2,,99 ,,3386,1079,541,1.0,1.0,1.0,光ドロップ強化,スキルブースト,,,,,,,,,
1170,紫の華龍・オーキッド,6,ドラゴン,,闇,木,1245,511,157,40,ダークシードブレス,紫雲のペタル,2,,99 ,,3362,1073,551,1.0,1.0,1.0,闇ドロップ強化,スキルブースト,,,,,,,,,
1171,プチリップ,2,ドラゴン,,火,,217,222,155,6,フレイムエンハンス,なし,0,,30 ,,564,355,248,1.0,1.0,1.0,,,,,,,,,,,
1172,プチローズ,2,ドラゴン,,水,,213,218,160,6,ウォーターエンハンス,なし,0,,30 ,,554,349,256,1.0,1.0,1.0,,,,,,,,,,,
1173,プチリウム,2,ドラゴン,,木,,212,219,159,6,アースエンハンス,なし,0,,30 ,,551,350,254,1.0,1.0,1.0,,,,,,,,,,,
1174,プチアンサス,2,ドラゴン,,光,,221,217,158,6,サンダーエンハンス,なし,0,,30 ,,575,347,253,1.0,1.0,1.0,,,,,,,,,,,
1175,プチラン,2,ドラゴン,,闇,,216,221,156,6,ダークエンハンス,なし,0,,30 ,,562,354,250,1.0,1.0,1.0,,,,,,,,,,,
1176,黄金の番人,7,進化用,,光,火,3626,1107,0,7,ヒールバリア,鉄壁の心得,0,,1 ,,3626,1107,0,1.0,1.0,1.0,,,,,,,,,,,
1177,ドラゴンネッキー,5,強化合成用,,光,,832,832,832,25,ファミ通Appの声援,ファミ通Appの逆鱗,0,,1 ,,832,832,832,1.0,1.0,1.0,,,,,,,,,,,
1178,レッドフェアリー,3,回復,,火,,261,91,187,5,なし,なし,0,,25 ,,626,273,318,1.0,1.0,1.0,,,,,,,,,,,
1179,火の精・パロット,4,回復,,火,,501,246,286,11,草薙の剣,フレイムハーモニー,0,,70 ,,1253,615,515,1.0,1.0,1.0,,,,,,,,,,,
1180,ブルーフェアリー,3,回復,,水,,263,88,190,5,なし,なし,0,,25 ,,631,264,323,1.0,1.0,1.0,,,,,,,,,,,
1181,水の精・シャルル,4,回復,,水,,505,238,291,11,蒼聖の鎖,アクアハーモニー,0,,70 ,,1263,595,524,1.0,1.0,1.0,,,,,,,,,,,
1182,グリーンフェアリー,3,回復,,木,,263,90,187,5,なし,なし,0,,25 ,,631,270,318,1.0,1.0,1.0,,,,,,,,,,,
1183,木の精・リリー,4,回復,,木,,505,243,286,11,碧星の剛剣,ウィンドハーモニー,0,,70 ,,1263,608,515,1.0,1.0,1.0,,,,,,,,,,,
1184,イエローフェアリー,3,回復,,光,,259,89,190,5,なし,なし,0,,25 ,,622,267,323,1.0,1.0,1.0,,,,,,,,,,,
1185,光の精サンリッチ,4,回復,,光,,498,240,291,11,如意棒,シャインハーモニー,0,,70 ,,1245,600,524,1.0,1.0,1.0,,,,,,,,,,,
1186,ブラックフェアリー,3,回復,,闇,,257,92,187,5,なし,なし,0,,25 ,,617,276,318,1.0,1.0,1.0,,,,,,,,,,,
1187,闇の精・カトレヤ,4,回復,,闇,,494,248,286,11,秘密の箱,ダークハーモニー,0,,70 ,,1235,620,515,1.0,1.0,1.0,,,,,,,,,,,
1188,ヘラ・ベオーク,6,神,,木,,1241,1001,76,40,ジュピタージェネシス,光合成,0,,50 ,,2138,1401,152,1.0,1.0,1.0,,,,,,,,,,,
1189,覚醒ヘラ・ベオーク,7,悪魔,神,木,闇,1810,1261,137,60,ジュピタージェネシス,光合成,3,,99 ,,3256,1765,274,1.0,1.0,1.0,光ダメージ軽減,木ドロップ強化,木属性強化,,,,,,,,
1190,エンシェントドラりんナイト・せろ,5,ドラゴン,,木,木,421,289,0,25,ドラゴンエンハンス,りゅうきしのいかり,2,,70 ,,2087,1254,0,1.0,1.0,1.0,回復強化,スキルブースト,,,,,,,,,
1191,紅焔の舞巫女・望月千代女,7,バランス,,火,火,1055,536,186,27,暁光変化の術・火,巫女舞の秘伝,3,,99 ,,2738,1390,383,1.0,1.0,1.0,2体攻撃,火属性強化,スキルブースト,,,,,,,,
1192,蒼扇の夜叉姫・初芽局,7,回復,,水,水,887,442,357,27,暗黒変化の術・水,心練法の秘伝,3,,99 ,,2129,1205,708,1.0,1.0,1.0,2体攻撃,水属性強化,スキルブースト,,,,,,,,
1193,時津風の神童・猿飛佐助,7,攻撃,,木,木,799,576,104,27,流水変化の術・木,練武の秘伝,3,,99 ,,2397,1886,216,1.0,1.0,1.0,2体攻撃,木属性強化,スキルブースト,,,,,,,,
1194,轟雷角の頭領・風魔小太郎,7,体力,,光,光,1246,423,26,27,風雷変化の術・光,体練法の秘伝,3,,99 ,,4238,1311,39,1.0,1.0,1.0,2体攻撃,光属性強化,スキルブースト,,,,,,,,
1195,朧月夜の幻影・服部半蔵,7,攻撃,,闇,闇,463,564,320,27,業炎変化の術・闇,八門の秘伝,3,,99 ,,1389,1898,480,1.0,1.0,1.0,2体攻撃,闇属性強化,スキルブースト,,,,,,,,
1196,空の王・リオレウス＆レウスネコ,7,バランス,ドラゴン,火,闇,1048,632,129,35,一撃離脱ニャ！,火竜の怒号,4,,99 ,,2720,1530,275,1.0,1.0,1.0,火ドロップ強化,火属性強化,火ドロップ強化,毒耐性,,,,,,,
1197,陸の女王・リオレイア＆レイアネコ,7,回復,ドラゴン,木,光,1113,482,201,35,スキありニャ！,雌火竜の品格,4,,99 ,,2683,1105,472,1.0,1.0,1.0,木ドロップ強化,木属性強化,光属性強化,毒耐性,,,,,,,
1198,覚醒秘神オーディン猫,6,神,体力,水,闇,377,118,113,30,魔槍ぐんぐにーるニャ！,秘神オーディンハット,0,,50 ,,1697,531,237,1.0,1.0,1.0,,,,,,,,,,,
1199,覚醒秘神オーディン＆オーディン猫,7,神,体力,水,闇,1358,478,213,50,魔槍ぐんぐにーるニャ！,秘神オーディンハット,5,,99 ,,3927,1201,412,1.0,1.0,1.0,水属性強化,水属性強化,スキルブースト,スキルブースト,闇属性強化,スキルブースト,,,,,
1200,アスカ＆エヴァ改2号機・コード777,6,攻撃,,火,火,522,685,191,25,あんたバカぁ？,コード777,3,,99 ,,1345,1813,401,1.0,1.0,1.0,火属性強化,火ドロップ強化,バインド耐性,,,,,,,,
1201,シンジ＆カヲル＆第13号機・FI,7,攻撃,,水,闇,868,766,104,40,時が満ちた…,フォース・インパクト,4,,99 ,,2220,2015,198,1.0,1.0,1.0,水属性強化,闇属性強化,2体攻撃,スキルブースト,,,,,,,
1202,ミサト＆AAAヴンダー,5,攻撃,,火,光,255,166,96,25,全艦、緊急発進！,希望の船,0,,50 ,,1148,747,182,1.0,1.0,1.0,,,,,,,,,,,
1203,ミサト＆AAAヴンダー・主機点火,6,攻撃,,水,光,918,672,164,30,全艦、緊急発進！,希望の船,4,,99 ,,2395,1680,282,1.0,1.0,1.0,火属性強化,火ドロップ強化,スキルブースト,バインド耐性,,,,,,,
